Names,links
Aloe Vera,https://upload.wikimedia.org/wikipedia/commons/4/4b/Aloe_vera_flower_inset.png
Basil,https://upload.wikimedia.org/wikipedia/commons/9/97/Ocimum_basilicum_8zz.jpg
Lavender,https://upload.wikimedia.org/wikipedia/commons/7/7e/Single_lavender_flower02.jpg
Rosemary,https://upload.wikimedia.org/wikipedia/commons/a/a3/Rosemary_in_bloom.JPG
Mentha,https://upload.wikimedia.org/wikipedia/commons/7/72/Pfefferminze_natur_peppermint.jpg
Thyme,https://upload.wikimedia.org/wikipedia/commons/e/ea/Thyme-Bundle.jpg
Peace Lily,https://upload.wikimedia.org/wikipedia/commons/b/bd/Spathiphyllum_cochlearispathum_RTBG.jpg
Spider Plant,https://upload.wikimedia.org/wikipedia/commons/b/b1/Hierbabuena_0611_Revised.jpg
Parsley,https://upload.wikimedia.org/wikipedia/commons/e/e4/Petroselinum.jpg
Fern (Boston),https://upload.wikimedia.org/wikipedia/commons/3/30/Boston_Fern_%282873392811%29.png
Bamboo,https://upload.wikimedia.org/wikipedia/commons/e/e2/Dracaena_sanderiana_2.jpg
Money Plant,https://upload.wikimedia.org/wikipedia/commons/d/d4/RPlantSavGraceIpswich140324_%285_of_12%29_%2853589044022%29_%28cropped%29.jpg
Jade Plant,https://upload.wikimedia.org/wikipedia/commons/5/5a/Crassula_ovata_700.jpg
Orchids,https://upload.wikimedia.org/wikipedia/commons/3/34/Plant_Orchid_Cymbidium_aloifolium_P1110661_05_-_cropped.jpg
Cilantro,https://upload.wikimedia.org/wikipedia/commons/1/13/Coriandrum_sativum_-_K%C3%B6hler%E2%80%93s_Medizinal-Pflanzen-193.jpg
Dill,https://upload.wikimedia.org/wikipedia/commons/4/4b/Illustration_Anethum_graveolens_clean.jpg
Oregano,https://upload.wikimedia.org/wikipedia/commons/1/14/Origanum_vulgare_-_harilik_pune.jpg
Pothos,https://upload.wikimedia.org/wikipedia/commons/7/70/Pothos_repens_CBM.png
Bougainvillea,https://upload.wikimedia.org/wikipedia/commons/4/4c/Bougainvillea_closeup.jpg
Fiddle Leaf Fig,https://upload.wikimedia.org/wikipedia/commons/8/84/Starr_031108-0130_Ficus_lyrata.jpg
Sage,https://upload.wikimedia.org/wikipedia/commons/5/5a/Salvia_officinalis0.jpg
Cosmos,https://upload.wikimedia.org/wikipedia/commons/e/e0/Cosmos_bipinnatus%2C_a_wild_Cosmos_%289461227273%29.jpg
Geranium,https://upload.wikimedia.org/wikipedia/commons/a/a7/Geranium_February_2008-1.jpg
Marigold,https://upload.wikimedia.org/wikipedia/commons/b/b0/Tagetes_erecta_chendumalli_chedi.jpg
Zinnia,https://upload.wikimedia.org/wikipedia/commons/a/ac/Zinnia_single_layer_and_12_Petals_2.jpg
Hibiscus,https://upload.wikimedia.org/wikipedia/commons/c/cb/Hibiscus_flower_TZ.jpg
Begonia,https://upload.wikimedia.org/wikipedia/commons/f/fb/Begonia_obliqua00.jpg
Chrysanthemum,https://upload.wikimedia.org/wikipedia/commons/b/b5/Chrysanthemum_nangkingense.jpg
Daffodil,https://upload.wikimedia.org/wikipedia/commons/6/63/Narcissus_poeticus_subsp._radiiflorus.1658.jpg
Tulip,https://upload.wikimedia.org/wikipedia/commons/9/9e/%D7%A6%D7%91%D7%A2%D7%95%D7%A0%D7%99%D7%9D.JPG
Jasmine,https://upload.wikimedia.org/wikipedia/commons/4/42/Common_Jasmine.jpg
Ivy,https://upload.wikimedia.org/wikipedia/commons/9/9d/2014-10-29_13_43_39_Poison_Ivy_foliage_during_autumn_leaf_coloration_in_Ewing%2C_New_Jersey.JPG
Nasturtium,https://upload.wikimedia.org/wikipedia/commons/4/40/Nasturtium_lvs.jpg
Carnation,https://upload.wikimedia.org/wikipedia/commons/3/3b/W_carnation4051.jpg
Pansy,https://upload.wikimedia.org/wikipedia/commons/b/b8/PansyScan_%28cropped%29.jpg
Sweet Pea,https://upload.wikimedia.org/wikipedia/commons/d/d7/Sweet_Pea-7.jpg
Verbena,https://upload.wikimedia.org/wikipedia/commons/3/38/Eisenkraut%2C_Passau.JPG
Gerbera Daisy,https://upload.wikimedia.org/wikipedia/commons/3/3b/Unidentified_Gerbera.jpg
Hyacinth,https://upload.wikimedia.org/wikipedia/commons/7/7e/Hyacinth_-_Anglesey_Abbey.jpg
Foxglove,https://upload.wikimedia.org/wikipedia/commons/7/74/Digitalis_purpurea2.jpg
Bluebell,https://upload.wikimedia.org/wikipedia/commons/a/a8/Hyacinthoides_non-scripta_%28Common_Bluebell%29.jpg
Camellia,https://upload.wikimedia.org/wikipedia/commons/7/71/Csinensis.jpg
Magnolia,https://upload.wikimedia.org/wikipedia/commons/a/a4/Magnolia_sieboldii_flower_1.jpg
Gardenia,https://upload.wikimedia.org/wikipedia/commons/5/54/Gardenia_jasminoides_flower_Argentina.jpg
Eucalyptus,https://upload.wikimedia.org/wikipedia/commons/4/4c/Eucalyptus_tereticornis_flowers%2C_capsules%2C_buds_and_foliage.jpeg
Lotus,https://upload.wikimedia.org/wikipedia/commons/e/ed/Sacred_lotus_Nelumbo_nucifera.jpg
Epiphyllum,https://upload.wikimedia.org/wikipedia/commons/6/6e/Epiphyllum_oxypetalum_flower.JPG
Coneflower,https://upload.wikimedia.org/wikipedia/commons/8/8e/Echinacea_purpurea_Grandview_Prairie.jpg
Alyssum,https://upload.wikimedia.org/wikipedia/commons/3/3b/Alyssum_montanum_ENBLA06.jpg
Lobelia,https://upload.wikimedia.org/wikipedia/commons/8/86/Lobelia_%28aka%29.jpg
Aster,https://upload.wikimedia.org/wikipedia/commons/e/e4/Asteraceae_-_Aster_amellus.JPG
Coral Bells,https://upload.wikimedia.org/wikipedia/commons/0/0e/San_Gabriel_Mountains_coralbells.jpg
Bleeding Heart,https://upload.wikimedia.org/wikipedia/commons/4/47/Dicentra-spectabilis.jpg
Sweet Alyssum,https://upload.wikimedia.org/wikipedia/commons/a/a0/Smagliczka_nadmorska_1.jpg
Astilbe,https://upload.wikimedia.org/wikipedia/commons/e/e8/Astilbe_arendsii1.jpg
Coreopsis,https://upload.wikimedia.org/wikipedia/commons/1/1e/Coreopsisgigantea.jpg
Globe Thistle,https://upload.wikimedia.org/wikipedia/commons/2/2f/Echinops_adenocaulos.jpg
Catnip,https://upload.wikimedia.org/wikipedia/commons/0/0b/Catnip_flowers.jpg
Tarragon,https://upload.wikimedia.org/wikipedia/commons/6/6c/Estragon_1511.jpg
Bay Laurel,https://upload.wikimedia.org/wikipedia/commons/a/a2/Starr-071024-0195-Laurus_nobilis-leaves-Enchanting_Floral_Gardens_of_Kula-Maui_%2824867859296%29.jpg
Lemon Balm,https://upload.wikimedia.org/wikipedia/commons/7/70/Lemon_balm_plant.jpg
Fennel,https://upload.wikimedia.org/wikipedia/commons/c/c0/Foeniculum_July_2011-1a.jpg
Stevia,https://upload.wikimedia.org/wikipedia/commons/9/9a/Stevia_plant.jpg
Marjoram,https://upload.wikimedia.org/wikipedia/commons/5/5c/Origanum_majorana_002.JPG
ZZ Plant,https://upload.wikimedia.org/wikipedia/commons/c/cf/Zamioculcas_zamiifolia_1.jpg
Philodendron,https://upload.wikimedia.org/wikipedia/commons/c/c1/Tree1.JPG
Calathea,https://upload.wikimedia.org/wikipedia/commons/e/e7/Starr_080716-9470_Calathea_crotalifera.jpg
Croton,https://upload.wikimedia.org/wikipedia/commons/0/08/Croton_californicus_4.jpg
Ficus Tree,https://upload.wikimedia.org/wikipedia/commons/1/16/Ficus_elastica_leaves_02.JPG
Haworthia,https://upload.wikimedia.org/wikipedia/commons/b/b9/Haworthia_cymbiformis_1.jpg
Hoya (Wax Plant),https://upload.wikimedia.org/wikipedia/commons/e/ea/NKN-2007-06-13_114250_Hoya_Carnosa_%28Yvan_Leduc_author_for_Wikipedia%29.jpg
Begonia (Outdoor),https://upload.wikimedia.org/wikipedia/commons/e/e4/Aardbei_Lambada_vruchtrot_Botrytis_cinerea.jpg
Petunia (Trailing),https://upload.wikimedia.org/wikipedia/commons/f/fb/Calibrachoa_flower_red.jpg
Clematis,https://upload.wikimedia.org/wikipedia/commons/7/70/Clematis_%27Nelly_Moser%27.JPG
Ageratum,https://upload.wikimedia.org/wikipedia/commons/1/15/Ageratum_houstonianum_%28alverson%29.jpg
Zantedeschia,https://upload.wikimedia.org/wikipedia/commons/a/ab/Zantedeschia_-_Calla_Lilly2.jpg
Heliotrope,https://upload.wikimedia.org/wikipedia/commons/f/f2/Heliotropium_peruvianum.jpg
Gazania,https://upload.wikimedia.org/wikipedia/commons/e/e3/Gardenology.org-IMG_0043_rbgm10dec.jpg
Portulaca,https://upload.wikimedia.org/wikipedia/commons/2/2f/Portulaca_oleracea.jpg
Coleus,https://upload.wikimedia.org/wikipedia/commons/1/1b/Leaf_-pani_koorkka.JPG
Amaryllis,https://upload.wikimedia.org/wikipedia/commons/f/ff/March_lilly_grave_1.JPG
Yucca,https://upload.wikimedia.org/wikipedia/commons/5/5e/Yucca_elata_-_tmcelrath_01.jpg
Acalypha,https://upload.wikimedia.org/wikipedia/commons/7/7b/Acalypha_Hispida_DS.jpg
Viola,https://upload.wikimedia.org/wikipedia/commons/c/c8/Viola_reichenbachiana_LC0128.jpg
Jasmine (Outdoor),https://upload.wikimedia.org/wikipedia/commons/4/45/Nicotiana_alata1By_Carl_E_Lewis.jpg
Campanula,https://upload.wikimedia.org/wikipedia/commons/2/2e/Campanula_persicifolia_Tehumardi_Saaremaa.jpg
Sea Holly,https://upload.wikimedia.org/wikipedia/commons/3/37/Illustration_Eryngium_maritimum0.jpg
Daylily,https://upload.wikimedia.org/wikipedia/commons/6/66/Hemerocallis_lilioasphodelus.jpg
Yarrow,https://upload.wikimedia.org/wikipedia/commons/1/1a/Achillea_millefolium_%28bright%29.jpg
Neem Tree,https://upload.wikimedia.org/wikipedia/commons/7/7b/Neem_Tree_in_Rajasthan%2C_India.jpg
Peepal Tree (Bodhi Tree),https://upload.wikimedia.org/wikipedia/commons/9/94/Ficus_religiosa_Bo.jpg
Banyan Tree (Bargad),https://upload.wikimedia.org/wikipedia/commons/9/9f/Great_banyan_tree_kol.jpg
Sheesham Tree,https://upload.wikimedia.org/wikipedia/commons/e/e9/Dalbergia_sissoo_Bra24.png
Delonix regia,https://upload.wikimedia.org/wikipedia/commons/8/87/Royal_Poinciana.jpg
Date Palm,https://upload.wikimedia.org/wikipedia/commons/4/45/Dates005.jpg
Ber Tree (Indian Jujube),https://upload.wikimedia.org/wikipedia/commons/f/fc/Indian_jujube_%28fruit%29.jpg
Chrysanthemum (Outdoor),https://upload.wikimedia.org/wikipedia/commons/8/84/Chrysanthemum.JPG
Japanese Maple,https://upload.wikimedia.org/wikipedia/commons/d/d6/Acer_palmatum0.jpg
Cucumbers,https://upload.wikimedia.org/wikipedia/commons/9/96/ARS_cucumber.jpg
Maranta (Prayer Plant),https://upload.wikimedia.org/wikipedia/commons/4/4a/Maranta_leuconeura3.jpg
Kalanchoe,https://upload.wikimedia.org/wikipedia/commons/6/67/Kalanchoe.blossfeldiana.jpg
Pilea,https://upload.wikimedia.org/wikipedia/commons/6/6d/Pilea_peperomioides_Chinese_money_plant.jpg
Pothos (Golden Pathos),https://upload.wikimedia.org/wikipedia/commons/5/5f/Nike_of_Samothrake_Louvre_Ma2369_n4.jpg
Ficus Benjamina,https://upload.wikimedia.org/wikipedia/commons/1/19/Starr-080608-7576-Ficus_benjamina-habit_with_Laysan_albatross-Gym_Sand_Island-Midway_Atoll_%2824823189861%29.jpg
Mimosa,https://upload.wikimedia.org/wikipedia/commons/2/26/Mimosa_pudica_in_September_month.jpg
Zucchini,https://upload.wikimedia.org/wikipedia/commons/9/92/CSA-Striped-Zucchini.jpg
Chili Pepper,https://upload.wikimedia.org/wikipedia/commons/1/1e/Bhut-Jolokia-pc.jpg
Grape Vine,https://upload.wikimedia.org/wikipedia/commons/8/84/Vitis_californica_with_grapes.jpg
