Plant Name,Growth,Soil,Sunlight,Watering,Fertilization Type,Watering Frequency,Health Indicator,Efficiency,Soil goodness,sun liking
Aloe Vera,slow,sandy,indirect sunlight,Water weekly,Balanced,-0.2727272727272727,1.0,-1.0,-0.5,-1.0
Basil,fast,well-drained,full sunlight,Keep soil evenly moist,Organic,0.8181818181818181,0.5,1.0,0.0,1.0
Snake Plant,slow,well-drained,indirect sunlight,Water when soil is dry,No,-0.8181818181818183,0.0,-1.0,0.0,-1.0
Lavender,moderate,sandy,full sunlight,Let soil dry between watering,No,-1.0,0.0,0.0,-0.5,1.0
Cactus,slow,sandy,full sunlight,Let soil dry between watering,Low-nitrogen,-1.0,-0.5,-1.0,-0.5,1.0
Rosemary,moderate,well-drained,full sunlight,Let soil dry between watering,No,-1.0,0.0,0.0,0.0,1.0
Mint,fast,well-drained,partial sunlight,Keep soil consistently moist,Balanced,1.0,1.0,1.0,0.0,0.0
Thyme,moderate,sandy,full sunlight,Let soil dry between watering,Organic,-1.0,0.5,0.0,-0.5,1.0
Peace Lily,moderate,well-drained,indirect sunlight,Water when soil feels dry,Balanced,-0.4545454545454546,1.0,0.0,0.0,-1.0
Spider Plant,moderate,loamy,indirect sunlight,Keep soil slightly moist,Balanced,0.4545454545454546,1.0,0.0,1.0,-1.0
Parsley,moderate,well-drained,partial sunlight,Keep soil consistently moist,Organic,1.0,0.5,0.0,0.0,0.0
Fern (Boston),moderate,well-drained,indirect sunlight,Water when topsoil is dry,Organic,-0.6363636363636365,0.5,0.0,0.0,-1.0
Bamboo Palm,slow,well-drained,indirect sunlight,Water weekly,Balanced,-0.2727272727272727,1.0,-1.0,0.0,-1.0
Money Plant,moderate,well-drained,indirect sunlight,Water when topsoil is dry,Balanced,-0.6363636363636365,1.0,0.0,0.0,-1.0
Jade Plant,slow,sandy,indirect sunlight,Water when soil is dry,Low-nitrogen,-0.8181818181818183,-0.5,-1.0,-0.5,-1.0
Orchids,moderate,well-drained,indirect sunlight,Water weekly,Balanced,-0.2727272727272727,1.0,0.0,0.0,-1.0
Cilantro,fast,well-drained,full sunlight,Keep soil moist,Balanced,0.6363636363636364,1.0,1.0,0.0,1.0
Dill,moderate,sandy,full sunlight,Keep soil evenly moist,Organic,0.8181818181818181,0.5,0.0,-0.5,1.0
Oregano,moderate,sandy,full sunlight,Water when topsoil is dry,Organic,-0.6363636363636365,0.5,0.0,-0.5,1.0
Pothos,fast,well-drained,indirect sunlight,Water when soil is dry,Balanced,-0.8181818181818183,1.0,1.0,0.0,-1.0
Bougainvillea,fast,well-drained,full sunlight,Water when soil is dry,Low-nitrogen,-0.8181818181818183,-0.5,1.0,0.0,1.0
Fiddle Leaf Fig,slow,well-drained,indirect sunlight,Water when topsoil is dry,Balanced,-0.6363636363636365,1.0,-1.0,0.0,-1.0
Sage,moderate,well-drained,full sunlight,Let soil dry between watering,Organic,-1.0,0.5,0.0,0.0,1.0
Cosmos,fast,sandy,full sunlight,Water when soil feels dry,Organic,-0.4545454545454546,0.5,1.0,-0.5,1.0
Geranium,moderate,well-drained,full sunlight,Water when soil is dry,Balanced,-0.8181818181818183,1.0,0.0,0.0,1.0
Marigold,fast,well-drained,full sunlight,Water when soil is dry,Balanced,-0.8181818181818183,1.0,1.0,0.0,1.0
Zinnia,fast,well-drained,full sunlight,Water weekly,Balanced,-0.2727272727272727,1.0,1.0,0.0,1.0
Hibiscus,moderate,well-drained,full sunlight,Water when topsoil is dry,Balanced,-0.6363636363636365,1.0,0.0,0.0,1.0
Begonia,moderate,well-drained,indirect sunlight,Keep soil moist,Organic,0.6363636363636364,0.5,0.0,0.0,-1.0
Chrysanthemum,fast,well-drained,full sunlight,Water when soil feels dry,Balanced,-0.4545454545454546,1.0,1.0,0.0,1.0
Daffodil,slow,well-drained,full sunlight,Water weekly,Balanced,-0.2727272727272727,1.0,-1.0,0.0,1.0
Tulip,slow,sandy,full sunlight,Water when soil is dry,Low-nitrogen,-0.8181818181818183,-0.5,-1.0,-0.5,1.0
