Plant Name,Growth,Soil,Sunlight,Watering,Fertilization Type
Aloe Vera,-1.0,-0.5,-1.0,-0.27273,1.0
Basil,1.0,0.0,1.0,0.81818,0.5
Snake Plant,-1.0,0.0,-1.0,-0.81818,0.0
Lavender,0.0,-0.5,1.0,-1.0,0.0
Cactus,-1.0,-0.5,1.0,-1.0,-0.5
Rosemary,0.0,0.0,1.0,-1.0,0.0
Mint,1.0,0.0,0.0,1.0,1.0
Thyme,0.0,-0.5,1.0,-1.0,0.5
Peace Lily,0.0,0.0,-1.0,-0.45455,1.0
Spider Plant,0.0,1.0,-1.0,0.45455,1.0
Parsley,0.0,0.0,0.0,1.0,0.5
Fern (Boston),0.0,0.0,-1.0,-0.63636,0.5
Bamboo Palm,-1.0,0.0,-1.0,-0.27273,1.0
Money Plant,0.0,0.0,-1.0,-0.63636,1.0
Jade Plant,-1.0,-0.5,-1.0,-0.81818,-0.5
Orchids,0.0,0.0,-1.0,-0.27273,1.0
Cilantro,1.0,0.0,1.0,0.63636,1.0
Dill,0.0,-0.5,1.0,0.81818,0.5
Oregano,0.0,-0.5,1.0,-0.63636,0.5
Pothos,1.0,0.0,-1.0,-0.81818,1.0
Bougainvillea,1.0,0.0,1.0,-0.81818,-0.5
Fiddle Leaf Fig,-1.0,0.0,-1.0,-0.63636,1.0
Sage,0.0,0.0,1.0,-1.0,0.5
Cosmos,1.0,-0.5,1.0,-0.45455,0.5
Geranium,0.0,0.0,1.0,-0.81818,1.0
Marigold,1.0,0.0,1.0,-0.81818,1.0
Zinnia,1.0,0.0,1.0,-0.27273,1.0
Hibiscus,0.0,0.0,1.0,-0.63636,1.0
Begonia,0.0,0.0,-1.0,0.63636,0.5
Chrysanthemum,1.0,0.0,1.0,-0.45455,1.0
Daffodil,-1.0,0.0,1.0,-0.27273,1.0
Tulip,-1.0,-0.5,1.0,-0.81818,-0.5
Jasmine,0.0,1.0,1.0,-0.27273,0.5
Ivy,0.0,0.0,-1.0,0.45455,1.0
Nasturtium,1.0,0.0,1.0,-0.27273,0.5
Carnation,0.0,0.0,1.0,-0.81818,-0.5
Pansy,0.0,0.0,0.0,0.81818,0.5
Sweet Pea,1.0,1.0,1.0,-0.27273,1.0
Verbena,0.0,-0.5,1.0,-0.27273,-0.5
Gerbera Daisy,0.0,0.0,1.0,-0.27273,1.0
Hyacinth,0.0,1.0,1.0,-0.27273,-0.5
Foxglove,0.0,0.0,0.0,-0.27273,1.0
Bluebell,0.0,0.0,0.0,0.45455,0.5
Camellia,-1.0,-1.0,0.0,-0.27273,-1.0
Magnolia,-1.0,-1.0,1.0,-0.81818,-1.0
Gardenia,-1.0,-1.0,-1.0,-0.27273,-1.0
Azalea,0.0,-1.0,0.0,0.63636,-1.0
Eucalyptus,-1.0,-0.5,1.0,-0.45455,-0.5
Lotus,0.0,1.0,1.0,1.0,1.0
Orchid Cactus,-1.0,-0.5,-1.0,-0.27273,-0.5
Lotus Bamboo,-1.0,0.0,-1.0,-0.27273,0.5
Coneflower,0.0,-0.5,1.0,-0.27273,1.0
Alyssum,1.0,-0.5,1.0,-0.27273,0.5
Lobelia,1.0,0.0,-1.0,-0.27273,-0.5
Aster,0.0,0.0,1.0,-0.27273,-0.5
Coral Bells,0.0,0.0,0.0,-0.27273,-0.5
Bleeding Heart,-1.0,0.0,0.0,0.63636,0.5
Sweet Alyssum,1.0,-0.5,1.0,-0.27273,-0.5
Astilbe,0.0,0.0,0.0,0.63636,0.5
Coreopsis,1.0,-0.5,1.0,-0.81818,-0.5
Globe Thistle,0.0,-0.5,1.0,-0.81818,-0.5
Catnip,1.0,-0.5,1.0,-0.63636,1.0
Tarragon,-1.0,-0.5,1.0,-0.27273,0.5
Bay Laurel,-1.0,-0.5,0.0,-0.27273,0.5
Lemon Balm,0.0,0.0,0.0,-0.27273,0.5
Fennel,0.0,-0.5,1.0,-0.27273,0.5
Stevia,-1.0,0.0,0.0,-0.27273,0.5
Marjoram,0.0,-0.5,1.0,-0.81818,0.0
ZZ Plant,-1.0,-0.5,-1.0,-1.0,0.0
Philodendron,0.0,0.0,-1.0,-0.27273,0.0
Calathea,0.0,0.0,-1.0,0.63636,0.0
Croton,-1.0,0.0,-1.0,-0.27273,0.0
Ficus Tree,-1.0,0.0,-1.0,-0.27273,-0.5
Haworthia,-1.0,-0.5,-1.0,-0.63636,-0.5
Swedish Ivy,1.0,0.0,-1.0,-0.27273,1.0
Hoya (Wax Plant),-1.0,-0.5,-1.0,-0.63636,1.0
Begonia (Outdoor),0.0,0.0,1.0,-0.27273,0.5
Petunia (Trailing),1.0,-0.5,1.0,0.09091,0.5
Clematis,-1.0,-0.5,1.0,0.09091,0.5
Ageratum,1.0,0.0,1.0,0.09091,0.5
Calla Lily,0.0,-0.5,0.0,0.63636,0.5
Heliotrope,0.0,0.0,1.0,0.09091,0.5
Gazania,1.0,-0.5,1.0,-0.81818,0.5
Portulaca,1.0,-0.5,1.0,-0.81818,1.0
Coleus,0.0,0.0,-1.0,0.09091,-0.5
Amaryllis,0.0,-0.5,1.0,0.63636,-0.5
Yucca,-1.0,-0.5,1.0,-0.63636,0.5
Acalypha,0.0,-0.5,1.0,0.09091,0.5
Viola,0.0,0.0,1.0,0.63636,0.5
Jasmine (Outdoor),0.0,0.0,1.0,0.09091,1.0
Campanula,0.0,-0.5,0.0,0.63636,1.0
Sea Holly,-1.0,-0.5,1.0,-0.81818,1.0
Daylily,1.0,-0.5,1.0,0.09091,-0.5
Yarrow,0.0,-0.5,1.0,-0.81818,1.0
Neem Tree,1.0,-0.5,1.0,-1.0,0.5
Peepal Tree (Bodhi Tree),0.0,1.0,0.0,-0.09091,0.5
Banyan Tree (Bargad),-1.0,0.0,1.0,-0.09091,-0.5
Sheesham Tree,1.0,1.0,1.0,-1.0,0.5
Gul Mohar (Flame Tree),0.0,-0.5,1.0,0.27273,0.5
Date Palm (Khajoor),0.0,-0.5,1.0,-0.81818,0.5
Ber Tree (Indian Jujube),0.0,-0.5,1.0,-0.45455,0.5
Beggonia (Outdoor),0.0,0.0,1.0,0.27273,0.5
Chrysanthemum (Outdoor),1.0,1.0,1.0,0.27273,1.0
Japanese Maple,-1.0,-1.0,0.0,1.0,1.0
Cucumbers,1.0,0.0,1.0,0.27273,0.5
Maranta (Prayer Plant),0.0,1.0,0.0,0.27273,1.0
Kalanchoe,0.0,-0.5,1.0,-1.0,1.0
Pilea,0.0,1.0,-1.0,-0.63636,1.0
Pothos (Golden Pathos),1.0,1.0,-1.0,-0.63636,1.0
Ficus Benjamina,0.0,0.0,-1.0,-0.81818,1.0
Mimosa,1.0,1.0,1.0,0.27273,0.0
Zucchini,1.0,0.0,1.0,0.27273,1.0
Chili Pepper,1.0,1.0,1.0,0.27273,0.5
Grape Vine,0.0,-1.0,1.0,-0.09091,1.0
Cherry Blossom,-1.0,0.0,1.0,0.27273,0.5
Pine,-1.0,-0.5,1.0,-0.45455,1.0
Lily of the Valley,-1.0,-1.0,0.0,0.27273,-0.5
Wisteria,-1.0,0.0,1.0,0.27273,1.0
Strawberry,0.0,-0.5,1.0,-0.09091,0.5
Raspberry,0.0,-1.0,1.0,-0.09091,0.5
Cornflower,0.0,0.0,1.0,0.27273,1.0
Acorn Squash,0.0,1.0,1.0,0.09091,1.0
Apple Tree,-1.0,-0.5,1.0,-0.27273,1.0
Balsam,1.0,0.5,1.0,0.09091,0.5
Banana Plant,1.0,0.5,1.0,-0.27273,1.0
Blackcurrant,0.0,-1.0,1.0,0.63636,0.5
Bok Choy,1.0,1.0,1.0,0.09091,0.5
Brassica,0.0,0.5,1.0,0.09091,-0.5
Chayote,1.0,0.0,1.0,0.09091,1.0
Chestnut,-1.0,0.0,1.0,0.09091,0.5
